stadium,lat,long,address,city,state,zip,altitude_ft,closest_ap1_name,closest_ap1_code,closest_ap1_dist_km,closest_ap1_lat,closest_ap1_long,closest_ap2_name,closest_ap2_code,closest_ap2_dist_km,closest_ap2_lat,closest_ap2_long,closest_ap3_name,closest_ap3_code,closest_ap3_dist_km,closest_ap3_lat,closest_ap3_long
Angel Stadium,33.800017,-117.883043,"2000 E Gene Autry Way, Anaheim, CA 92806",Anaheim,CA,92806,154,Fullerton Municipal Airport,KFUL,11.9971,33.872014,-117.979784,John Wayne Airport-Orange County,KSNA,13.4455,33.6798,-117.8674,Los Alamitos Aaf Airport,KSLI,14.6746,33.79628,-118.04179
AT&T Park,37.778384,-122.389715,"24 Willie Mays Plaza, San Francisco, CA 94107",San Francisco,CA,94107,8,Metropolitan Oakland International Airport,KOAK,15.3422,37.7178,-122.23294,San Francisco International Airport,KSFO,17.7821,37.61961,-122.36558,Hayward Executive Airport,KHWD,27.1059,37.658889,-122.121111
Busch Stadium,38.622479,-90.193198,"700 Clark Ave, St. Louis, MO 63102",St. Louis,MO,63102,438,St Louis Downtown Airport,KCPS,7.5624,38.56403,-90.14871,St Louis Lambert International Airport,KSTL,21.2954,38.75245,-90.3734,Scott Afb/Midamerica Airport,KBLV,32.2836,38.545167,-89.835194
Chase Field,33.445169,-112.066719,"401 E Jefferson St, Phoenix, AZ 85004",Phoenix,AZ,85004,1059,Phoenix Sky Harbor International Airport,KPHX,6.153,33.4277,-112.0038,Scottsdale Airport,KSDL,22.8615,33.61235,-111.92316,Glendale Municipal Airport,KGEU,22.8907,33.52811,-112.29263
Citi Field,40.756747,-73.84598,"123-01 Roosevelt Ave, Queens, NY 11368",Queens,NY,11368,13,Laguardia Airport,KLGA,3.8357,40.779447,-73.880275,"New York City, Central Park, NY",KNYC,10.6719,40.778999,-73.969249,John F Kennedy International Airport,KJFK,14.793,40.63915,-73.76393
Citizens Bank Park,39.905729,-75.166561,"1 Citizens Bank Way, Philadelphia, PA 19148",Philadelphia,PN,19148,19,Philadelphia International Airport,KPHL,6.2788,39.87327,-75.22678,Northeast Philadelphia Airport,KPNE,23.2625,40.078901,-75.01335,Wings Field Airport,KLOM,27.2001,40.13758,-75.2684
Comerica Park,42.339314,-83.048874,"2100 Woodward Ave, Detroit, MI 48201",Detroit,MI,48201,602,Coleman A Young Municipal Airport,KDET,8.2398,42.40729,-83.00894,Windsor Airport,CYQG,10.9264,42.26602,-82.96038,Oakland/Troy Airport,KVLL,24.9954,42.542944,-83.177889
Coors Field,39.755879,-104.994183,"2001 Blake St, Denver, CO 80205",Denver,CO,80205,5197,Rocky Mountain Metropolitan Airport,KBJC,18.6566,39.90085,-105.10417,Buckley Air Force Base,KBKF,20.7384,39.71331,-104.75806,Centennial Airport,KAPA,25.111,39.55991,-104.84841
Dodger Stadium,34.073567,-118.240144,"1000 Vin Scully Ave, Los Angeles, CA 90012",Los Angeles,CA,90012,501,Los Angeles USC Campus,KCQT,7.2856,34.02354,-118.29121,Bob Hope Airport,KBUR,18.1513,34.19967,-118.36538,Jack Northrop Field/Hawthorne Municipal Airport,KHHR,18.9121,33.92284,-118.335187
Fenway Park,42.346358,-71.097622,"4 Yawkey Way, Boston, MA 02215",Boston,MS,2215,16,General Edward Lawrence Logan International Airport,KBOS,7.3932,42.36057,-71.00973,"East Milton, MA",KMQE,14.9941,42.21207,-71.11417,Norwood Memorial Airport,KOWD,18.3379,42.19123,-71.17326
